StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
1970/01/01 07:00:58.852331,25.056511,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/01 07:00:59.222620,26.127634,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/01 07:01:03.862017,0.000642,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/01 13:01:23.415768,13.518130,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/01 13:01:23.421107,14.924191,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/01 13:01:28.424135,0.000671,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/01 19:01:36.440742,13.508019,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/01 19:01:36.445892,14.894412,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/01 19:01:41.446077,0.000658,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/02 01:01:49.455541,25.013151,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/02 01:01:49.455561,29.031895,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,4,344,172,
1970/01/02 01:01:49.460426,26.370068,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/02 07:02:16.530665,25.563934,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/02 07:02:16.535819,26.900669,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/02 07:02:21.545913,0.000485,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/02 13:02:42.914512,25.203945,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/02 13:02:42.920218,26.509453,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/02 13:02:47.928164,0.059581,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/02 19:03:08.276916,59.532825,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,18,3300,3300,
1970/01/02 19:03:08.281985,60.799664,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,18,756,0,
1970/01/02 19:03:13.287012,63.294067,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,9,766,422,
1970/01/03 01:04:07.317350,48.028522,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,15,2761,2761,
1970/01/03 01:04:07.322256,49.253551,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,15,630,0,
1970/01/03 01:04:12.325859,51.750202,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,7,594,336,
1970/01/03 07:04:55.853277,13.508451,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/03 07:04:55.858624,14.713792,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/03 07:05:00.854823,0.000591,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/03 13:05:09.868935,13.508511,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/03 13:05:09.873896,14.694258,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/03 13:05:14.871006,0.000458,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/03 19:05:23.885388,13.507547,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/03 19:05:23.885416,0.000132,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,2,172,86,
1970/01/03 19:05:23.890359,14.674144,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/04 01:05:37.901265,13.507413,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/04 01:05:37.906336,14.653920,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/04 01:05:42.911546,0.000624,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/04 07:05:51.917331,13.507697,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/04 07:05:51.922476,14.634263,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/04 07:05:56.923617,0.000552,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/04 13:06:05.933437,13.507713,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/04 13:06:05.938442,14.614225,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/04 13:06:10.940652,0.000578,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/04 19:06:19.950390,13.506808,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/04 19:06:19.955638,14.603196,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/04 19:06:24.956107,0.000524,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/05 01:06:34.006514,13.506707,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/05 01:06:34.011668,14.583475,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/05 01:06:39.020751,0.000636,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/05 07:06:48.022310,13.507323,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/05 07:06:48.027192,14.563537,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/05 07:06:53.032880,0.000633,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/05 13:07:02.038559,13.508266,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/05 13:07:02.043455,14.544064,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/05 13:07:07.044191,0.000519,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/05 19:07:16.535655,13.506793,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/05 19:07:16.540438,14.524037,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/05 19:07:21.546490,0.000636,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/06 01:07:29.549636,13.507634,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/06 01:07:29.554613,15.004800,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/06 01:07:34.557804,0.000528,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/06 07:07:42.564305,13.507195,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/06 07:07:42.569334,14.984311,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/06 07:07:47.570555,0.000507,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/06 13:07:55.579774,13.507095,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/06 13:07:55.579797,0.000152,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,2,172,86,
1970/01/06 13:07:55.585149,14.963240,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/06 19:08:08.594015,36.521297,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,12,2222,2222,
1970/01/06 19:08:08.599218,37.947426,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,12,504,0,
1970/01/06 19:08:13.598965,0.000659,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/07 01:08:44.621660,59.533821,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,18,3300,3300,
1970/01/07 01:08:44.626693,60.920254,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,18,756,0,
1970/01/07 01:08:49.628334,51.912350,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,9,766,422,
1970/01/07 07:09:43.662809,48.027122,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,15,2761,2761,
1970/01/07 07:09:43.668256,49.373199,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,15,630,0,
1970/01/07 07:09:48.675976,52.866604,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,9,766,422,
1970/01/07 13:10:31.197301,48.027653,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,15,2761,2761,
1970/01/07 13:10:31.202580,49.333122,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,15,630,0,
1970/01/07 13:10:36.201938,52.834614,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,7,594,336,
1970/01/07 19:09:52.133536,0.000000,arp,192.168.1.1,,  who,192.168.1.117,,RSP,,,1,42,0,
1970/01/07 19:09:52.133607,0.000057,icmp,192.168.1.1,0x0008,  <->,192.168.1.117,0xc9ad,ECO,0,0,2,124,62,
1970/01/07 19:09:57.030230,0.000162,arp,192.168.1.117,,  who,192.168.1.1,,CON,,,2,102,42,
1970/01/07 19:11:19.733038,48.026798,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,15,2761,2761,
1970/01/07 19:11:19.738251,49.293213,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,15,630,0,
1970/01/07 19:11:24.744052,51.787437,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,9,766,422,
1970/01/08 00:56:24.531563,1003.500793,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,21,882,0,
1970/01/08 01:12:07.266891,59.534969,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,18,3300,3300,
1970/01/08 01:12:12.281947,51.753407,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,9,766,422,
1970/01/08 07:13:06.308146,2.000736,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,3,555,555,
1970/01/08 07:13:06.308169,0.000129,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,2,172,86,
1970/01/08 07:13:06.313196,3.217446,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,3,126,0,
1970/01/08 13:13:08.818381,25.012604,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/08 13:13:08.823578,26.199553,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/08 13:13:13.829323,0.000383,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/08 19:13:33.339019,25.173576,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/08 19:13:33.344462,26.340120,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/08 19:13:38.342091,0.000608,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/09 01:14:00.023989,25.012779,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/09 01:14:00.028915,26.149683,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/09 01:14:05.042482,24.000221,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,5,430,258,
1970/01/09 07:14:24.544327,25.014601,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/09 07:14:24.549339,26.130608,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/09 07:14:29.553150,0.000651,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/09 13:14:50.067398,25.013783,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/09 13:14:50.072500,26.100061,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/09 13:14:55.086069,24.000038,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,5,430,258,
1970/01/09 19:15:14.588688,25.013479,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/09 19:15:14.588706,0.000143,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,2,172,86,
1970/01/09 19:15:14.594027,26.080063,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/10 01:15:40.110898,25.014791,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/10 01:15:40.116063,26.050058,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/10 01:15:45.116890,24.016226,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,5,430,258,
1970/01/10 07:16:04.632056,25.014149,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/10 07:16:04.637521,26.020233,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/10 07:16:09.643920,0.000654,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/10 13:16:30.154815,25.013899,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/10 13:16:30.160370,26.501078,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,7,294,0,
1970/01/10 13:16:35.157777,24.016153,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,5,430,258,
1970/01/10 19:16:54.676333,25.013773,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/10 19:16:54.681480,26.470440,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/10 19:16:59.683726,0.000441,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/11 01:17:20.199035,25.014883,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/11 01:17:20.204079,26.450670,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/11 01:17:25.212955,24.000212,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,5,430,258,
1970/01/11 07:17:45.726731,25.018570,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/11 07:17:45.731865,26.415468,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/11 07:17:50.727070,0.000600,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/11 13:18:10.252922,25.013859,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/11 13:18:10.258396,26.390442,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/11 13:18:15.264439,0.000558,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/11 19:18:35.775849,36.520935,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,12,2222,2222,
1970/01/11 19:18:35.781346,37.856644,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,12,504,0,
1970/01/11 19:18:40.794423,35.520218,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,5,430,258,
1970/01/12 01:19:12.804752,13.507472,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1094,1094,
1970/01/12 01:19:12.809711,14.834519,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/12 01:19:17.813471,0.000565,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/12 07:19:26.820801,36.520847,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,12,2222,2222,
1970/01/12 07:19:26.825992,37.806557,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,12,504,0,
1970/01/12 07:19:31.825177,0.000483,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/12 13:20:03.850176,13.510997,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/12 13:20:03.855460,14.774168,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/12 13:20:08.857568,0.000747,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/12 19:20:17.866645,13.506944,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/12 19:20:17.872089,14.753470,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/12 19:20:22.885416,0.000544,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/13 01:20:31.882239,25.013721,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,9,1683,1683,
1970/01/13 01:20:31.887432,26.240396,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/13 01:20:36.897179,25.008179,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,5,430,258,
1970/01/13 07:20:56.403314,13.508058,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/13 07:20:56.408978,14.714061,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/13 07:21:01.417693,0.000631,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
1970/01/13 13:21:09.418653,13.507989,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,REQ,0,,6,1144,1144,
1970/01/13 13:21:09.423945,14.693559,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,6,252,0,
1970/01/13 13:21:14.422740,0.000561,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,3,258,172,
