StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,srcUdata,dstUdata,Label
1970/01/01 01:00:12.528268,0.001102,udp,10.0.2.103,63320,  <->,8.8.8.8,53,CON,0,0,2,180,76,s[48]=ZokBAAABAAAAAAAAA2Rucwhtc2Z0bmNzaQNjb20AABwAAQ==,d[84]=ZomBgAABAAEAAAAAA2Rucwhtc2Z0bmNzaQNjb20AABwAAcAMABwAAQAACJMAEP0+T1pbgQAAAAAAAAAAAAE=,
1970/01/01 01:07:59.116407,0.017292,udp,10.0.2.103,50366,  <->,8.8.8.8,53,CON,0,0,2,156,70,s[40]=bS0BAAABAAAAAAAAB2lwLWFkZHICZXMAAAEAAQ==,d[60]=bS2BgAABAAEAAAAAB2lwLWFkZHICZXMAAAEAAcAMAAEAAQAAS+oABLylpLg=,
1970/01/01 01:07:59.189448,195.361877,tcp,10.0.2.103,49158,   ->,188.165.164.184,80,SRPA_FSPA,0,0,11,1690,562,s[304]=R0VUIC8gSFRUUC8xLjENClVzZXItQWdlbnQ6IE1vemlsbGEvNC4wIChjb21wYXRpYmxlOyBNU0lFIDcuMDsgV2luZG93cyBOVCA2LjE7IFRyaWRlbnQvNC4wOyBTTENDMjsgLk5FVCBDTFIgMi4wLjUwNzI3OyAuTkVUIENMUiAzLjUuMzA3Mjk7IC5ORVQgQ0xSIDMuMC4zMDcyOTsgTWVkaWEgQ2VudGVyIFBDIDYuMCkNCkhvc3Q6IGlwLWFkZHIuZXMNCkNhY2hlLUNvbnRyb2w6IG5vLWNhY2hlDQoNCg==,d[640]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjI1OjA1IEdNVA0KQ29udGVudC1UeXBlOiB0ZXh0L3BsYWluO2NoYXJzZXQ9VVRGLTgNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb25uZWN0aW9uOiBrZWVwLWFsaXZlDQpWYXJ5OiBBY2NlcHQtRW5jb2RpbmcNCkxhc3QtTW9kaWZpZWQ6IFRodSwgMTAgU2VwIDIwMTUgMTM6MjU6MDUgR01UDQpDYWNoZS1Db250cm9sOiBuby1zdG9yZSwgbm8tY2FjaGUsIG11c3QtcmV2YWxpZGF0ZSwgbWF4LWFnZT0wLCBwb3N0LWNoZWNrPTAsIHByZS1jaGVjaz0wDQpFeHBpcmVzOiBUaHUsIDAxIEphbiAxOTcwIDAwOjAwOjAwIEdNVA0KUHJhZ21hOiBuby1jYWNoZQ0KWC1YU1MtUHJvdGVjdGlvbjogMQ0KU2VydmVyOiBEWU5BTUlDKw0KDQpkDQoxNDcuMzIuODMuNTYKDQowDQoNCkhUVFAvMS4xIDIwMCBPSw0KRGF0ZTogVGh1LCAxMCBTZXAgMjAxNSAxMzoyNTowNSBHTVQN,
1970/01/01 01:07:59.347799,0.019324,udp,10.0.2.103,50198,  <->,8.8.8.8,53,CON,0,0,2,170,77,s[48]=RKgBAAABAAAAAAAADWR1bGljaG11YWRvbmcDY29tAAABAAE=,d[68]=RKiBgAABAAEAAAAADWR1bGljaG11YWRvbmcDY29tAAABAAHADAABAAEAAAb2AAS2MoYB,
1970/01/01 01:07:59.367699,3.210746,tcp,10.0.2.103,49159,   ->,182.50.134.1,80,FSPA_FSPA,0,0,14,1470,897,s[640]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD90PTBkOTQ1YmpzNjAwbG4gSFRUUC8xLjENCkFjY2VwdDogKi8qDQpDb250ZW50LVR5cGU6IGFwcGxpY2F0aW9uL3gtd3d3LWZvcm0tdXJsZW5jb2RlZA0KQ29ubmVjdGlvbjogQ2xvc2UNCkNvbnRlbnQtTGVuZ3RoOiAxMzANClVzZXItQWdlbnQ6IE1vemlsbGEvNC4wIChjb21wYXRpYmxlOyBNU0lFIDcuMDsgV2luZG93cyBOVCA2LjE7IFRyaWRlbnQvNC4wOyBTTENDMjsgLk5FVCBDTFIgMi4wLjUwNzI3OyAuTkVUIENMUiAzLjUuMzA3Mjk7IC5ORVQgQ0xSIDMuMC4zMDcyOTsgTWVkaWEgQ2VudGVyIFBDIDYuMCkNCkhvc3Q6IGR1bGljaG11YWRvbmcuY29tDQpDYWNoZS1Db250cm9sOiBuby1jYWNoZQ0KDQpzPTg4NDIzMDU3ZmVkY2M0ZjgwYmFkMjhjYjY0ODk1MzJiYmRlZWFjYTNlYzhiM2FmMjA4MTBkZTc4MzFhZDgwNDdmYWE0NmNlYTYzYjllZGY4ZGFkYTgzZWY1NmEzOGEzZmZhODlk,d[256]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjI1OjA1IEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQplDQo4ODQyNzQwY2YwOTRjOQ0KMA0KDQo=,
1970/01/01 01:07:59.500639,0.097119,udp,fe80::50be:8acf:be49:8c14,53685,   ->,ff02::1:3,5355,INT,0,,2,168,168,s[60]=ffEAAAABAAAAAAAABHdwYWQAAAEAAX3xAAAAAQAAAAAAAAR3cGFkAAABAAE=,,
1970/01/01 01:07:59.500920,0.097110,udp,10.0.2.103,58547,   ->,224.0.0.252,5355,INT,0,,2,128,128,s[60]=ffEAAAABAAAAAAAABHdwYWQAAAEAAX3xAAAAAQAAAAAAAAR3cGFkAAABAAE=,,
1970/01/01 01:07:59.501105,0.096925,icmp,10.0.2.2,0x000b,   ->,10.0.2.103,,TXD,192,,2,184,184,s[80]=5LMU6wAeweJ98QAAAAEAAAAAAAAEd3BhZAAAAQAB5LMU6wAeweJ98QAAAAEAAAAAAAAEd3BhZAAAAQAB,,
1970/01/01 01:07:59.798923,1.501432,udp,10.0.2.103,137,   ->,10.0.2.255,137,INT,0,,3,276,276,s[200]=nPIBEAABAAAAAAAAIEZIRkFFQkVFQ0FDQUNBQ0FDQUNBQ0FDQUNBQ0FDQUFBAAAgAAGc8gEQAAEAAAAAAAAgRkhGQUVCRUVDQUNBQ0FDQUNBQ0FDQUNBQ0FDQUNBQUEAACAAAZzyARAAAQAAAAAAACBGSEZBRUJFRUNBQ0FDQUNBQ0FDQUNBQ0FDQUNBQ0FBQQAAIAAB,,
1970/01/01 01:07:59.799142,1.501213,icmp,10.0.2.2,0x0003,   ->,10.0.2.103,0x0a00,URN,192,,3,360,360,s[232]=AIkAiQA6BqKc8gEQAAEAAAAAAAAgRkhGQUVCRUVDQUNBQ0FDQUNBQ0FDQUNBQ0FDQUNBQUEAACAAAQCJAIkAOgainPIBEAABAAAAAAAAIEZIRkFFQkVFQ0FDQUNBQ0FDQUNBQ0FDQUNBQ0FDQUFBAAAgAAEAiQCJADoGopzyARAAAQAAAAAAACBGSEZBRUJFRUNBQ0FDQUNBQ0FDQUNBQ0FDQUNBQ0FBQQAAIAAB,,
1970/01/01 01:08:02.653681,5.934770,tcp,10.0.2.103,49160,   ->,182.50.134.1,80,FSPA_FSPA,0,0,12,2307,804,s[624]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD96PWQ3aDg4ZXQ5N2owIEhUVFAvMS4xDQpBY2NlcHQ6ICovKg0KQ29udGVudC1UeXBlOiBhcHBsaWNhdGlvbi94LXd3dy1mb3JtLXVybGVuY29kZWQNCkNvbm5lY3Rpb246IENsb3NlDQpDb250ZW50LUxlbmd0aDogOTQNClVzZXItQWdlbnQ6IE1vemlsbGEvNC4wIChjb21wYXRpYmxlOyBNU0lFIDcuMDsgV2luZG93cyBOVCA2LjE7IFRyaWRlbnQvNC4wOyBTTENDMjsgLk5FVCBDTFIgMi4wLjUwNzI3OyAuTkVUIENMUiAzLjUuMzA3Mjk7IC5ORVQgQ0xSIDMuMC4zMDcyOTsgTWVkaWEgQ2VudGVyIFBDIDYuMCkNCkhvc3Q6IGR1bGljaG11YWRvbmcuY29tDQpDYWNoZS1Db250cm9sOiBuby1jYWNoZQ0KDQp0PTA2NjI5NjE5M2VkMGUxNTI2OTIwMjhjMGM5OTdkMDc5ZmE5MGIxMDdlY2M4MTBkNmMwYzliZDk4OTZhNzk1NThhZDMyOTM4YTc1ZTBjMmMzMTY5ZWU0YjZjYTRh,d[640]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjI1OjA4IEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQozZTQNCjA2NjdkYjRjMzBjOGU4NGU2YTdlNjFjMzhkZGI5ZjIxYmVkNGZmMjBlOWRlNGQ4OTlkOTc5MGE3OWVmZWI0MmVhZTBjZDRiNTczODk4ZGQ4N2Q4NThhZTdiOTcyNDhmMjk0ZmJkZTY1OTVmNmE3ZjYxOTBkNGQ0MjA3YTE4ODRjZDI0NjY5ZTcxNzJhMDg4OGQ1MzIyMTZiMzViNzNmNWRlN2M2NmEwODlmNTY2NjFiNjlhZWEwYmQxMjNiZGUwOTVjZTM4YWU5NmRiM2FjNDE1MGMxYTI2MGJkZTc5Mjg0NmU4MzFlNzI5MjYxNDgzNjYwYWQ2Y2FiNzBkNDlmNjNkOWU0MTRmOTE1YTk2NzlmMTY0OWRmYmQzYmM0ZjEwOTZlM2VkMThjNzA1YjUyZmM3N2Vl,
1970/01/01 01:08:08.625301,10.176877,tcp,10.0.2.103,49161,   ->,182.50.134.1,80,FSPA_FSPA,0,0,59,51501,1628,s[640]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD9kPWh6d3Rjam1qMmE4bSBIVFRQLzEuMQ0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogYXBwbGljYXRpb24veC13d3ctZm9ybS11cmxlbmNvZGVkDQpDb25uZWN0aW9uOiBDbG9zZQ0KQ29udGVudC1MZW5ndGg6IDE2MA0KVXNlci1BZ2VudDogTW96aWxsYS80LjAgKGNvbXBhdGlibGU7IE1TSUUgNy4wOyBXaW5kb3dzIE5UIDYuMTsgVHJpZGVudC80LjA7IFNMQ0MyOyAuTkVUIENMUiAyLjAuNTA3Mjc7IC5ORVQgQ0xSIDMuNS4zMDcyOTsgLk5FVCBDTFIgMy4wLjMwNzI5OyBNZWRpYSBDZW50ZXIgUEMgNi4wKQ0KSG9zdDogZHVsaWNobXVhZG9uZy5jb20NCkNhY2hlLUNvbnRyb2w6IG5vLWNhY2hlDQoNCno9ZjdkZjcxZGZkYmVhZTM5YTE1YzhkZjEzNGU4NzIwYmU1NTk0MWQ0OGM3ZjBhYmViMjYzNzE3OTA3NmM1ZDAzMTU4ZGE3MDJlMTY0OWEzODJiODk1ZWU3NWZlMmE1NmVlMTk3Yzk0,d[640]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjI1OjE0IEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQpiNDUzDQqJUE5HDQoaCgAAAA1JSERSAAADrwAAAsoIAgAAAFK08OMAACAASURBVHic7L1Pi+PG9v9/8uMutUl6HkHkcbwxBvEdwr0LLa8+mO81AaPFrHSHLDXeNHcjet14ExqC2qsQZgSBXhhDcD6Y6C69yCXki8B44zjWfQTjzEYP4LfQv5JUpT+2+8+M3y964ZaqTp06dap0fFSSP/nhu28JAAAAAACAs+T/e2wFAAAAAAAAeDQQDQMAAAAAgPMF0TAAAAAAADhf/sL+89XLrx9LDwAAAAAAAB6GH+++Tz4jNwwAAAAAAM4XRMMAAAAAAOB8QTQMAAAAAADOF0TDAAAAAADgfEE0DAAAAAAAzhdEwwAAAAAA4HxBNAwAAAAAAM4XRMMAAAAAAOB8QTQMAAAAAADOF0TD,
1970/01/01 01:11:10.587247,3.964115,tcp,10.0.2.103,49162,   ->,182.50.134.1,80,FSPA_FSPA,0,0,12,1322,807,s[628]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD9iPWdyb2RicnY5MHdvZ2dpIEhUVFAvMS4xDQpBY2NlcHQ6ICovKg0KQ29udGVudC1UeXBlOiBhcHBsaWNhdGlvbi94LXd3dy1mb3JtLXVybGVuY29kZWQNCkNvbm5lY3Rpb246IENsb3NlDQpDb250ZW50LUxlbmd0aDogOTQNClVzZXItQWdlbnQ6IE1vemlsbGEvNC4wIChjb21wYXRpYmxlOyBNU0lFIDcuMDsgV2luZG93cyBOVCA2LjE7IFRyaWRlbnQvNC4wOyBTTENDMjsgLk5FVCBDTFIgMi4wLjUwNzI3OyAuTkVUIENMUiAzLjUuMzA3Mjk7IC5ORVQgQ0xSIDMuMC4zMDcyOTsgTWVkaWEgQ2VudGVyIFBDIDYuMCkNCkhvc3Q6IGR1bGljaG11YWRvbmcuY29tDQpDYWNoZS1Db250cm9sOiBuby1jYWNoZQ0KDQp3PWE3ZWFhYzUyYzk2NTYxYWQ2YTJiYzFlMDBlNTIzOGY5YThlYjhhNjNmNmJiYWZhZjY1ZGZhM2MwZmU1OThlYjJjZDM0ZDZkMmE4NGI0N2M4ZGI4MjllOTk1OTEz,d[252]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjI4OjE2IEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQphDQphN2U4ZTkwM2M2DQowDQoNCg==,
1970/01/01 01:14:26.587600,2.753822,tcp,10.0.2.103,49163,   ->,182.50.134.1,80,FSPA_FSPA,0,0,12,1318,803,s[624]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD93PWY4czV1MTVrNHU3OGRzIEhUVFAvMS4xDQpBY2NlcHQ6ICovKg0KQ29udGVudC1UeXBlOiBhcHBsaWNhdGlvbi94LXd3dy1mb3JtLXVybGVuY29kZWQNCkNvbm5lY3Rpb246IENsb3NlDQpDb250ZW50LUxlbmd0aDogOTANClVzZXItQWdlbnQ6IE1vemlsbGEvNC4wIChjb21wYXRpYmxlOyBNU0lFIDcuMDsgV2luZG93cyBOVCA2LjE7IFRyaWRlbnQvNC4wOyBTTENDMjsgLk5FVCBDTFIgMi4wLjUwNzI3OyAuTkVUIENMUiAzLjUuMzA3Mjk7IC5ORVQgQ0xSIDMuMC4zMDcyOTsgTWVkaWEgQ2VudGVyIFBDIDYuMCkNCkhvc3Q6IGR1bGljaG11YWRvbmcuY29tDQpDYWNoZS1Db250cm9sOiBuby1jYWNoZQ0KDQp1PThiNmJhZmI5OWU4MjFjYzVhMWNlMzJiYzQzNzBiZWU1MmI2ZGVkMmY3ZWE4NDUzMjRlYWQ1MThmODNjMzUxODc3ODUzMWI1NWE5ZmYxZGU5OTc3ODcyYjU=,d[252]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjMxOjMyIEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQphDQo4YjY5ZWJlYTkxDQowDQoNCg==,
1970/01/01 01:17:29.350155,3.014449,tcp,10.0.2.103,49164,   ->,182.50.134.1,80,FSPA_FSPA,0,0,12,1318,803,s[624]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD91PTRva2FzOHBob3JjdTQ0IEhUVFAvMS4xDQpBY2NlcHQ6ICovKg0KQ29udGVudC1UeXBlOiBhcHBsaWNhdGlvbi94LXd3dy1mb3JtLXVybGVuY29kZWQNCkNvbm5lY3Rpb246IENsb3NlDQpDb250ZW50LUxlbmd0aDogOTANClVzZXItQWdlbnQ6IE1vemlsbGEvNC4wIChjb21wYXRpYmxlOyBNU0lFIDcuMDsgV2luZG93cyBOVCA2LjE7IFRyaWRlbnQvNC4wOyBTTENDMjsgLk5FVCBDTFIgMi4wLjUwNzI3OyAuTkVUIENMUiAzLjUuMzA3Mjk7IC5ORVQgQ0xSIDMuMC4zMDcyOTsgTWVkaWEgQ2VudGVyIFBDIDYuMCkNCkhvc3Q6IGR1bGljaG11YWRvbmcuY29tDQpDYWNoZS1Db250cm9sOiBuby1jYWNoZQ0KDQp1PTU1OTY5N2RkZGE1NmZmZDk0YmZlYTMxYjJhNzU4YjU2ZDU5NzE0Mjc5YTlhYzQ2NjViNGI1NjIzMWVlZDlhOWFhOWY5MTY2NmVmNzJhYzhlYTM0NzkzZWQ=,d[252]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjM0OjM1IEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQphDQo1NTk3ZGQ4ZWQ1DQowDQoNCg==,
1970/01/01 01:21:52.368796,2.998993,tcp,10.0.2.103,49165,   ->,182.50.134.1,80,FSPA_FSPA,0,0,12,1319,804,s[624]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD9wPTc5ZHc0bmY5amg2cTJ1YyBIVFRQLzEuMQ0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogYXBwbGljYXRpb24veC13d3ctZm9ybS11cmxlbmNvZGVkDQpDb25uZWN0aW9uOiBDbG9zZQ0KQ29udGVudC1MZW5ndGg6IDkwDQpVc2VyLUFnZW50OiBNb3ppbGxhLzQuMCAoY29tcGF0aWJsZTsgTVNJRSA3LjA7IFdpbmRvd3MgTlQgNi4xOyBUcmlkZW50LzQuMDsgU0xDQzI7IC5ORVQgQ0xSIDIuMC41MDcyNzsgLk5FVCBDTFIgMy41LjMwNzI5OyAuTkVUIENMUiAzLjAuMzA3Mjk7IE1lZGlhIENlbnRlciBQQyA2LjApDQpIb3N0OiBkdWxpY2htdWFkb25nLmNvbQ0KQ2FjaGUtQ29udHJvbDogbm8tY2FjaGUNCg0Kdz05YTRmZjUwYmU1NDE1NTNiNWY4M2M1ZDBkMmQxYTQ1ZmExZDczMTk2ZWU5ZjgyYjRhM2U4NDhhYTM1OTUwNTkxYjI2MmUxMGU1YTRiOWNhYTFkY2YwYjMy,d[252]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjM4OjU4IEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQphDQo5YTRkYmM1ZWVhDQowDQoNCg==,
1970/01/01 01:24:31.366057,3.145986,tcp,10.0.2.103,49166,   ->,182.50.134.1,80,FSPA_FSPA,0,0,12,1316,801,s[620]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD91PXhwMGI2ejI5dHlsNyBIVFRQLzEuMQ0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogYXBwbGljYXRpb24veC13d3ctZm9ybS11cmxlbmNvZGVkDQpDb25uZWN0aW9uOiBDbG9zZQ0KQ29udGVudC1MZW5ndGg6IDkwDQpVc2VyLUFnZW50OiBNb3ppbGxhLzQuMCAoY29tcGF0aWJsZTsgTVNJRSA3LjA7IFdpbmRvd3MgTlQgNi4xOyBUcmlkZW50LzQuMDsgU0xDQzI7IC5ORVQgQ0xSIDIuMC41MDcyNzsgLk5FVCBDTFIgMy41LjMwNzI5OyAuTkVUIENMUiAzLjAuMzA3Mjk7IE1lZGlhIENlbnRlciBQQyA2LjApDQpIb3N0OiBkdWxpY2htdWFkb25nLmNvbQ0KQ2FjaGUtQ29udHJvbDogbm8tY2FjaGUNCg0Kej01ZDZiZDI0MzAxNGFkZmZjNzY4ZjFiMzYzOTBkOTJmYjI3M2JiOGI0OTU1NjYyNjY2Nzc4ZjEyMGRkMjQ4ZDg5M2Y3ZmRjY2QwNWFjOTU0MGQ5ZDgxOGU3,d[252]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjQxOjM3IEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQphDQo1ZDZhOWQxMjBlDQowDQoNCg==,
1970/01/01 01:28:26.515505,2.832547,tcp,10.0.2.103,49167,   ->,182.50.134.1,80,FSPA_FSPA,0,0,12,1318,803,s[624]=UE9TVCAvd3AtaW5jbHVkZXMvZm9udHMvYXAyLnBocD9zPThvYnNjNjgwODVxY2k1IEhUVFAvMS4xDQpBY2NlcHQ6ICovKg0KQ29udGVudC1UeXBlOiBhcHBsaWNhdGlvbi94LXd3dy1mb3JtLXVybGVuY29kZWQNCkNvbm5lY3Rpb246IENsb3NlDQpDb250ZW50LUxlbmd0aDogOTANClVzZXItQWdlbnQ6IE1vemlsbGEvNC4wIChjb21wYXRpYmxlOyBNU0lFIDcuMDsgV2luZG93cyBOVCA2LjE7IFRyaWRlbnQvNC4wOyBTTENDMjsgLk5FVCBDTFIgMi4wLjUwNzI3OyAuTkVUIENMUiAzLjUuMzA3Mjk7IC5ORVQgQ0xSIDMuMC4zMDcyOTsgTWVkaWEgQ2VudGVyIFBDIDYuMCkNCkhvc3Q6IGR1bGljaG11YWRvbmcuY29tDQpDYWNoZS1Db250cm9sOiBuby1jYWNoZQ0KDQpzPTQ4YzY2NzAzY2Q3NDY3MzE1ODY5NmZhOGM2NTM5ODk5OWRkMWNjY2M3NDQ4ODE1MGVhYWE5NzEzMDBhODUxYjkyOGNlMzE2Zjk5ODM5ZjVjNWVkNTM1MzI=,d[252]=SFRUUC8xLjEgMjAwIE9LDQpEYXRlOiBUaHUsIDEwIFNlcCAyMDE1IDEzOjQ1OjMyIEdNVA0KU2VydmVyOiBBcGFjaGUNClZhcnk6IEFjY2VwdC1FbmNvZGluZw0KQ29ubmVjdGlvbjogY2xvc2UNClRyYW5zZmVyLUVuY29kaW5nOiBjaHVua2VkDQpDb250ZW50LVR5cGU6IHRleHQvaHRtbA0KDQphDQo0OGM2MmE1MmMyDQowDQoNCg==,
